"doi","period","issn","ut"
"10.1007/s11239-015-1332-1",2016,"0929-5305","ut:000376644500019"
"10.1007/s11239-016-1340-9",2016,"0929-5305","ut:000376644500012"
"10.1007/s11239-016-1350-7",2016,"0929-5305","ut:000378819400002"
"10.1007/s11239-015-1306-3",2016,"0929-5305","ut:000378819400014"
"10.1007/s11239-016-1354-3",2016,"0929-5305","ut:000378819400007"
"10.1007/s11239-016-1397-5",2016,"0929-5305","ut:000385044300015"
"10.1007/s11239-016-1415-7",2016,"0929-5305","ut:000385044300022"
"10.3758/s13420-016-0210-9",2016,"1543-4494","ut:000382159200009"
"10.3758/s13420-016-0210-9",2016,"1543-4494","ut:000382159200009"
"10.3758/s13420-016-0212-7",2016,"1543-4494","ut:000382159200011"
"10.1007/s00103-015-2304-5",2016,"1436-9990","ut:000371026000007"
"10.1007/s00103-015-2266-7",2016,"1436-9990","ut:000367517500008"
"10.1007/s00103-015-2268-5",2016,"1436-9990","ut:000367517500014"
"10.1007/s00103-015-2269-4",2016,"1436-9990","ut:000367517500011"
"10.1007/s00103-015-2270-y",2016,"1436-9990","ut:000367517500009"
"10.1007/s00103-015-2258-7",2016,"1436-9990","ut:000367517500003"
"10.1007/s00103-015-2262-y",2016,"1436-9990","ut:000367517500013"
"10.1007/s00103-015-2265-8",2016,"1436-9990","ut:000367517500007"
"10.1007/s00103-015-2264-9",2016,"1436-9990","ut:000367517500005"
"10.1007/s00103-015-2263-x",2016,"1436-9990","ut:000367517500012"
"10.1007/s00103-015-2261-z",2016,"1436-9990","ut:000367517500015"
"10.1007/s00103-015-2260-0",2016,"1436-9990","ut:000367517500010"
"10.1007/s00103-015-2271-x",2016,"1436-9990","ut:000367517500006"
"10.1007/s00103-015-2267-6",2016,"1436-9990","ut:000367517500002"
"10.1007/s00103-015-2274-7",2016,"1436-9990","ut:000367517500001"
"10.1007/s00103-016-2335-6",2016,"1436-9990","ut:000375059900008"
"10.1007/s00103-016-2341-8",2016,"1436-9990","ut:000375059900014"
"10.1007/s00103-016-2344-5",2016,"1436-9990","ut:000375059900001"
"10.1007/s00103-016-2344-5",2016,"1436-9990","ut:000375059900001"
"10.1007/s00103-016-2344-5",2016,"1436-9990","ut:000375059900001"
"10.1007/s00103-016-2334-7",2016,"1436-9990","ut:000375059900007"
"10.1007/s00103-016-2336-5",2016,"1436-9990","ut:000375059900009"
"10.1007/s00103-016-2340-9",2016,"1436-9990","ut:000375059900013"
"10.1007/s00103-016-2342-7",2016,"1436-9990","ut:000375059900015"
"10.1007/s00103-016-2343-6",2016,"1436-9990","ut:000375059900016"
"10.1007/s00103-016-2332-9",2016,"1436-9990","ut:000375059900005"
"10.1007/s00103-016-2330-y",2016,"1436-9990","ut:000375059900003"
"10.1007/s00103-016-2339-2",2016,"1436-9990","ut:000375059900012"
"10.1007/s00103-016-2329-4",2016,"1436-9990","ut:000375059900002"
"10.1007/s00103-016-2337-4",2016,"1436-9990","ut:000375059900010"
"10.1007/s00103-016-2331-x",2016,"1436-9990","ut:000375059900004"
"10.1007/s00103-016-2333-8",2016,"1436-9990","ut:000375059900006"
"10.1007/s00103-016-2327-6",2016,"1436-9990","ut:000375059900017"
"10.1007/s00103-016-2338-3",2016,"1436-9990","ut:000375059900011"
"10.1007/s00103-015-2283-6",2016,"1436-9990","ut:000368718200010"
"10.1007/s00103-015-2276-5",2016,"1436-9990","ut:000368718200003"
"10.1007/s00103-015-2277-4",2016,"1436-9990","ut:000368718200004"
"10.1007/s00103-015-2280-9",2016,"1436-9990","ut:000368718200007"
"10.1007/s00103-015-2285-4",2016,"1436-9990","ut:000368718200012"
"10.1007/s00103-016-2349-0",2016,"1436-9990","ut:000379171600009"
"10.1007/s00103-015-2281-8",2016,"1436-9990","ut:000368718200008"
"10.1007/s00103-016-2351-6",2016,"1436-9990","ut:000379171600014"
"10.1007/s00103-016-2346-3",2016,"1436-9990","ut:000379171600003"
"10.1007/s00103-016-2352-5",2016,"1436-9990","ut:000379171600011"
"10.1007/s00103-016-2360-5",2016,"1436-9990","ut:000379171600005"
"10.1007/s00103-016-2353-4",2016,"1436-9990","ut:000379171600004"
"10.1007/s00103-016-2375-y",2016,"1436-9990","ut:000379171600001"
"10.1007/s00103-016-2375-y",2016,"1436-9990","ut:000379171600001"
"10.1007/s00103-016-2348-1",2016,"1436-9990","ut:000379171600013"
"10.1007/s00103-016-2347-2",2016,"1436-9990","ut:000379171600010"
"10.1007/s00103-016-2358-z",2016,"1436-9990","ut:000379171600006"
"10.1007/s00103-016-2350-7",2016,"1436-9990","ut:000379171600012"
"10.1007/s00103-016-2359-y",2016,"1436-9990","ut:000379171600008"
"10.1007/s00103-016-2374-z",2016,"1436-9990","ut:000379171600015"
"10.1007/s00103-016-2356-1",2016,"1436-9990","ut:000379171600002"
"10.1007/s00103-016-2384-x",2016,"1436-9990","ut:000380691800010"
"10.1007/s00103-016-2418-4",2016,"1436-9990","ut:000380691800013"
"10.1007/s00103-016-2385-9",2016,"1436-9990","ut:000380691800011"
"10.1007/s00103-016-2386-8",2016,"1436-9990","ut:000380691800012"
"10.1007/s00103-016-2377-9",2016,"1436-9990","ut:000380691800003"
"10.1007/s00103-016-2380-1",2016,"1436-9990","ut:000380691800006"
"10.1007/s00103-016-2382-z",2016,"1436-9990","ut:000380691800008"
"10.1007/s00103-016-2387-7",2016,"1436-9990","ut:000380691800014"
"10.1007/s00103-016-2378-8",2016,"1436-9990","ut:000380691800004"
"10.1007/s00103-016-2381-0",2016,"1436-9990","ut:000380691800007"
"10.1007/s00103-016-2383-y",2016,"1436-9990","ut:000380691800009"
"10.1007/s00103-016-2392-x",2016,"1436-9990","ut:000380691800001"
"10.1007/s00103-016-2392-x",2016,"1436-9990","ut:000380691800001"
"10.1007/s00103-016-2376-x",2016,"1436-9990","ut:000380691800002"
"10.1007/s00103-016-2370-3",2016,"1436-9990","ut:000379171800011"
"10.1007/s00103-016-2379-7",2016,"1436-9990","ut:000380691800005"
"10.1007/s00103-016-2367-y",2016,"1436-9990","ut:000379171800012"
"10.1007/s00103-016-2362-3",2016,"1436-9990","ut:000379171800008"
"10.1007/s00103-016-2363-2",2016,"1436-9990","ut:000379171800014"
"10.1007/s00103-016-2390-z",2016,"1436-9990","ut:000379171800015"
"10.1007/s00103-016-2391-y",2016,"1436-9990","ut:000379171800001"
"10.1007/s00103-016-2391-y",2016,"1436-9990","ut:000379171800001"
"10.1007/s00103-016-2369-9",2016,"1436-9990","ut:000379171800006"
"10.1007/s00103-016-2372-1",2016,"1436-9990","ut:000379171800007"
"10.1007/s00103-016-2365-0",2016,"1436-9990","ut:000379171800004"
"10.1007/s00103-016-2366-z",2016,"1436-9990","ut:000379171800002"
"10.1007/s00103-016-2371-2",2016,"1436-9990","ut:000379171800010"
"10.1007/s00103-016-2364-1",2016,"1436-9990","ut:000379171800003"
"10.1007/s00103-016-2373-0",2016,"1436-9990","ut:000379171800013"
"10.1007/s00103-016-2361-4",2016,"1436-9990","ut:000379171800009"
"10.1007/s00103-016-2440-6",2016,"1436-9990","ut:000387087800012"
"10.1007/s00103-016-2441-5",2016,"1436-9990","ut:000387087800011"
"10.1007/s00103-016-2445-1",2016,"1436-9990","ut:000387087800003"
"10.1007/s00103-016-2452-2",2016,"1436-9990","ut:000387087800009"
"10.1007/s00103-016-2449-x",2016,"1436-9990","ut:000387087800007"
"10.1007/s00103-016-2468-7",2016,"1436-9990","ut:000387087800001"
"10.1007/s00103-016-2468-7",2016,"1436-9990","ut:000387087800001"
"10.1007/s00103-016-2448-y",2016,"1436-9990","ut:000387087800008"
"10.1007/s00103-016-2443-3",2016,"1436-9990","ut:000387087800016"
"10.1007/s00103-016-2439-z",2016,"1436-9990","ut:000387087800004"
"10.1007/s00103-016-2455-z",2016,"1436-9990","ut:000387087800010"
"10.1007/s00103-016-2447-z",2016,"1436-9990","ut:000387087800006"
"10.1007/s00103-016-2450-4",2016,"1436-9990","ut:000387087800005"
"10.1007/s00103-016-2454-0",2016,"1436-9990","ut:000387087800013"
"10.1007/s00103-016-2446-0",2016,"1436-9990","ut:000387087800002"
"10.1007/s00103-016-2442-4",2016,"1436-9990","ut:000387087800014"
"10.1007/s00103-016-2408-6",2016,"1436-9990","ut:000382173100009"
"10.1007/s00103-016-2397-5",2016,"1436-9990","ut:000382173100008"
"10.1007/s00103-016-2406-8",2016,"1436-9990","ut:000382173100015"
"10.1007/s00103-016-2393-9",2016,"1436-9990","ut:000382173100003"
"10.1007/s00103-016-2394-8",2016,"1436-9990","ut:000382173100002"
"10.1007/s00103-016-2417-5",2016,"1436-9990","ut:000382173100016"
"10.1007/s00103-016-2419-3",2016,"1436-9990","ut:000382173100001"
"10.1007/s00103-016-2419-3",2016,"1436-9990","ut:000382173100001"
"10.1007/s00103-016-2403-y",2016,"1436-9990","ut:000382173100005"
"10.1007/s00103-016-2396-6",2016,"1436-9990","ut:000382173100006"
"10.1007/s00103-016-2405-9",2016,"1436-9990","ut:000382173100013"
"10.1007/s00103-016-2409-5",2016,"1436-9990","ut:000382173100019"
"10.1007/s00103-016-2407-7",2016,"1436-9990","ut:000382173100010"
"10.1007/s00103-016-2401-0",2016,"1436-9990","ut:000382173100011"
"10.1007/s00103-016-2404-x",2016,"1436-9990","ut:000382173100014"
"10.1007/s00103-016-2395-7",2016,"1436-9990","ut:000382173100018"
"10.1007/s00103-016-2412-x",2016,"1436-9990","ut:000382173100004"
"10.1007/s00103-016-2399-3",2016,"1436-9990","ut:000382173100007"
"10.1007/s00103-016-2415-7",2016,"1436-9990","ut:000382173100017"
"10.1007/s00103-016-2430-8",2016,"1436-9990","ut:000387087100011"
"10.1007/s00103-016-2436-2",2016,"1436-9990","ut:000387087100003"
"10.1007/s00103-016-2420-x",2016,"1436-9990","ut:000387087100007"
"10.1007/s00103-016-2423-7",2016,"1436-9990","ut:000387087100004"
"10.1007/s00103-016-2424-6",2016,"1436-9990","ut:000387087100006"
"10.1007/s00103-016-2431-7",2016,"1436-9990","ut:000387087100014"
"10.1007/s00103-016-2432-6",2016,"1436-9990","ut:000387087100015"
"10.1007/s00103-016-2421-9",2016,"1436-9990","ut:000387087100002"
"10.1007/s00103-016-2426-4",2016,"1436-9990","ut:000387087100010"
"10.1007/s00103-016-2427-3",2016,"1436-9990","ut:000387087100009"
"10.1007/s00103-016-2428-2",2016,"1436-9990","ut:000387087100012"
"10.1007/s00103-016-2438-0",2016,"1436-9990","ut:000387087100001"
"10.1007/s00103-016-2425-5",2016,"1436-9990","ut:000387087100008"
"10.1007/s00103-016-2422-8",2016,"1436-9990","ut:000387087100005"
"10.1007/s00103-016-2429-1",2016,"1436-9990","ut:000387087100013"
"10.1007/s00103-016-2500-y",2017,"1436-9990","ut:000394987900003"
"10.1007/s00103-016-2315-x",2016,"1436-9990","ut:000373140500007"
"10.1007/s00103-016-2498-1",2017,"1436-9990","ut:000394987900009"
"10.1007/s00103-016-2505-6",2017,"1436-9990","ut:000394987900011"
"10.1007/s00103-016-2509-2",2017,"1436-9990","ut:000394987900014"
"10.1007/s00103-016-2509-2",2017,"1436-9990","ut:000394987900014"
"10.1007/s00103-017-2526-9",2017,"1436-9990","ut:000394987900001"
"10.1007/s00103-016-2499-0",2017,"1436-9990","ut:000394987900002"
"10.1007/s00103-016-2503-8",2017,"1436-9990","ut:000394987900006"
"10.1007/s00103-016-2506-5",2017,"1436-9990","ut:000394987900010"
"10.1007/s00103-016-2507-4",2017,"1436-9990","ut:000394987900012"
"10.1007/s00103-016-2501-x",2017,"1436-9990","ut:000394987900005"
"10.1007/s00103-016-2497-2",2017,"1436-9990","ut:000394987900008"
"10.1007/s00103-016-2502-9",2017,"1436-9990","ut:000394987900007"
"10.1007/s00103-016-2504-7",2017,"1436-9990","ut:000394987900004"
"10.1007/s00103-016-2476-7",2017,"1436-9990","ut:000391359100013"
"10.1007/s00103-016-2475-8",2017,"1436-9990","ut:000391359100016"
"10.1007/s00103-016-2489-2",2017,"1436-9990","ut:000391359100015"
"10.1007/s00103-016-2491-8",2017,"1436-9990","ut:000391359100001"
"10.1007/s00103-016-2479-4",2017,"1436-9990","ut:000391359100011"
"10.1007/s00103-016-2478-5",2017,"1436-9990","ut:000391359100008"
"10.1007/s00103-016-2491-8",2017,"1436-9990","ut:000391359100001"
"10.1007/s00103-016-2481-x",2017,"1436-9990","ut:000391359100004"
"10.1007/s00103-016-2473-x",2017,"1436-9990","ut:000391359100007"
"10.1007/s00103-016-2477-6",2017,"1436-9990","ut:000391359100009"
"10.1007/s00103-016-2482-9",2017,"1436-9990","ut:000391359100006"
"10.1007/s00103-016-2471-z",2017,"1436-9990","ut:000391359100012"
"10.1007/s00103-016-2480-y",2017,"1436-9990","ut:000391359100002"
"10.1007/s00103-016-2483-8",2017,"1436-9990","ut:000391359100005"
"10.1007/s00103-016-2472-y",2017,"1436-9990","ut:000391359100010"
"10.1007/s00103-016-2474-9",2017,"1436-9990","ut:000391359100014"
"10.1007/s11192-016-1834-4",2016,"0138-9130","ut:000374705700018"
"10.1007/s11192-015-1756-6",2016,"0138-9130","ut:000368075800025"
"10.1007/s11192-016-2115-y",2016,"0138-9130","ut:000389336100004"
"10.1007/s11192-016-2082-3",2016,"0138-9130","ut:000389336100032"
"10.1007/s11192-016-2090-3",2016,"0138-9130","ut:000389336100045"
"10.1007/s11192-016-2092-1",2016,"0138-9130","ut:000389336100044"
"10.1007/s11192-016-2089-9",2016,"0138-9130","ut:000386373000027"
"10.1007/s11192-016-2111-2",2016,"0138-9130","ut:000386373000039"
"10.1007/s11192-016-2084-1",2016,"0138-9130","ut:000386373000033"
"10.1007/s11192-016-2059-2",2016,"0138-9130","ut:000386373000006"
"10.1007/s11192-016-2013-3",2016,"0138-9130","ut:000382914200020"
"10.1007/s11192-016-1967-5",2016,"0138-9130","ut:000378777500006"
"10.1007/s11192-016-1909-2",2016,"0138-9130","ut:000378777500022"
"10.1007/s11192-016-1979-1",2016,"0138-9130","ut:000379346000021"
"10.1007/s11192-016-1987-1",2016,"0138-9130","ut:000379346000022"
"10.1007/s11192-016-1888-3",2016,"0138-9130","ut:000376273700019"
"10.1007/s11192-016-1893-6",2016,"0138-9130","ut:000376273700025"
"10.1007/s11192-016-1925-2",2016,"0138-9130","ut:000376273700008"
"10.1007/s11192-016-1926-1",2016,"0138-9130","ut:000376273700017"
"10.1007/s11192-016-1892-7",2016,"0138-9130","ut:000376273700018"
"10.1007/s11192-016-1887-4",2016,"0138-9130","ut:000376273600022"
"10.1007/s11192-016-2222-9",2017,"0138-9130","ut:000394339500011"
"10.1007/s11192-016-2216-7",2017,"0138-9130","ut:000394339500025"
"10.1007/s11192-016-2237-2",2017,"0138-9130","ut:000394339500007"
"10.1007/s11192-016-2177-x",2017,"0138-9130","ut:000393748300019"
"10.1007/s11192-016-2105-0",2017,"0138-9130","ut:000393748300024"
"10.1007/s11192-016-2200-2",2017,"0138-9130","ut:000394148300019"
"10.1007/s11192-016-2198-5",2017,"0138-9130","ut:000394148300029"
"10.1007/s11270-017-3271-2",2017,"0049-6979","ut:000397821100026"
"10.1007/s11270-017-3271-2",2017,"0049-6979","ut:000397821100026"
"10.1007/s11270-017-3243-6",2017,"0049-6979","ut:000394351400022"
"10.1007/s10689-016-9904-6",2016,"1389-9600","ut:000377895100014"
"10.1007/s10689-015-9830-z",2016,"1389-9600","ut:000367594700004"
"10.1007/s10689-016-9870-z",2016,"1389-9600","ut:000377895600015"
"10.1007/s10689-016-9899-z",2016,"1389-9600","ut:000382681500011"
"10.1007/s10336-016-1354-2",2016,"0021-8375","ut:000382943900025"
"10.1007/s10336-016-1338-2",2016,"0021-8375","ut:000382943900022"
"10.1007/s10336-016-1346-2",2016,"0021-8375","ut:000382944500001"
"10.1007/s10336-016-1402-y",2017,"0021-8375","ut:000393670600034"
"10.1007/s10336-016-1365-z",2017,"0021-8375","ut:000393670600010"
"10.1007/s10336-016-1363-1",2017,"0021-8375","ut:000393670600027"
"10.1007/s10336-016-1364-0",2017,"0021-8375","ut:000393670600021"
"10.1007/s12161-015-0233-4",2016,"1936-9751","ut:000369001300011"
"10.1007/s12161-016-0405-x",2016,"1936-9751","ut:000378902200009"
"10.1007/s12161-016-0508-4",2016,"1936-9751","ut:000385192700021"
"10.1007/s12161-016-0508-4",2016,"1936-9751","ut:000385192700021"
"10.1007/s12161-016-0643-y",2017,"1936-9751","ut:000394341500029"
"10.1007/s12161-016-0573-8",2017,"1936-9751","ut:000392208400025"
"10.1007/s12161-016-0575-6",2017,"1936-9751","ut:000392208400026"
"10.1007/s12161-016-0549-8",2017,"1936-9751","ut:000392208400006"
"10.1007/s12161-016-0585-4",2017,"1936-9751","ut:000392379600003"
"10.1007/s12193-015-0202-7",2016,"1783-7677","ut:000378580400006"
"10.1007/s11270-015-2730-x",2016,"0049-6979","ut:000367898100035"
"10.1007/s11270-015-2708-8",2016,"0049-6979","ut:000367898100015"
"10.1007/s11270-016-2844-9",2016,"0049-6979","ut:000376276100014"
"10.1007/s11270-016-2755-9",2016,"0049-6979","ut:000378782400004"
"10.1007/s11270-016-2858-3",2016,"0049-6979","ut:000377456000006"
"10.1007/s11270-016-2957-1",2016,"0049-6979","ut:000381092800010"
"10.1007/s11270-016-2988-7",2016,"0049-6979","ut:000382761400003"
"10.1007/s11270-016-3095-5",2016,"0049-6979","ut:000385419200038"
"10.1007/s11270-016-3091-9",2016,"0049-6979","ut:000385419200030"
"10.1007/s11027-014-9602-3",2016,"1381-2386","ut:000374841800004"
"10.1007/s11027-014-9621-0",2016,"1381-2386","ut:000377920800005"
"10.1007/s11027-015-9639-y",2016,"1381-2386","ut:000379034400008"
"10.1007/s11027-014-9628-6",2016,"1381-2386","ut:000379034400004"
"10.1007/s11027-015-9686-4",2017,"1381-2386","ut:000397475700009"
"10.1007/s11302-016-9532-5",2016,"1573-9538","ut:000389335800010"
"10.1007/s11302-016-9523-6",2016,"1573-9538","ut:000389335800014"
"10.1007/s11049-015-9313-9",2016,"0167-806X","ut:000374268800008"
"10.1007/s11049-016-9335-y",2017,"0167-806X","ut:000389989400005"
"10.1007/s11049-016-9338-8",2017,"0167-806X","ut:000389989400002"
"10.1038/nn.4194",2016,"1097-6256","ut:000367254400018"
"10.1038/nn.4185",2016,"1097-6256","ut:000367254400007"
"10.1038/nn.4262",2016,"1097-6256","ut:000374762100010"
"10.1038/nn.4198",2016,"1097-6256","ut:000369172600011"
"10.1038/nn.4198",2016,"1097-6256","ut:000369172600011"
"10.1038/nn.4325",2016,"1097-6256","ut:000380773200006"
"10.1038/nn.4321",2016,"1097-6256","ut:000380773200014"
"10.1038/nn.4321",2016,"1097-6256","ut:000380773200014"
"10.1038/nn.4303",2016,"1097-6256","ut:000378759600012"
"10.1038/nn.4407",2016,"1097-6256","ut:000389011900020"
"10.1038/nn.4391",2016,"1097-6256","ut:000384549900005"
"10.1038/nn.4363",2016,"1097-6256","ut:000384549900017"
"10.1038/nn.4364",2016,"1097-6256","ut:000384549900011"
"10.1038/nn.4364",2016,"1097-6256","ut:000384549900011"
"10.1038/nn.4425",2017,"1097-6256","ut:000391085500006"
"10.1038/nn.4425",2017,"1097-6256","ut:000391085500006"
"10.1038/nn.4437",2017,"1097-6256","ut:000391085500015"
"10.1038/nn.4447",2017,"1097-6256","ut:000391085500007"
"",2017,"1097-6256","ut:000393271000006"
"",2017,"1097-6256","ut:000393271000006"
"10.1038/nn.4454",2017,"1097-6256","ut:000393271000015"
"10.1038/nn.4454",2017,"1097-6256","ut:000393271000015"
"10.1038/ng.3488",2016,"1061-4036","ut:000370902600009"
"10.1038/ng.3488",2016,"1061-4036","ut:000370902600009"
"10.1038/ng.3447",2016,"1061-4036","ut:000367255300019"
"10.1038/ng.3528",2016,"1061-4036","ut:000374834100010"
"10.1038/ng.3527",2016,"1061-4036","ut:000374834100007"
"10.1038/ng.3527",2016,"1061-4036","ut:000374834100007"
"10.1038/ng.3695",2016,"1061-4036","ut:000386543400016"
"10.1038/ng.3611",2016,"1061-4036","ut:000382398800023"
"10.1038/ng.3611",2016,"1061-4036","ut:000382398800023"
"10.1038/ng.3611",2016,"1061-4036","ut:000382398800023"
"10.1038/ng.3611",2016,"1061-4036","ut:000382398800023"
"10.1038/ng.3775",2017,"1061-4036","ut:000394917800023"
"10.1038/ng.3775",2017,"1061-4036","ut:000394917800023"
"10.1038/ng.3791",2017,"1061-4036","ut:000397603700018"
"10.1038/ng.3791",2017,"1061-4036","ut:000397603700018"
"10.1007/s00040-016-0467-1",2016,"0020-1812","ut:000376259500004"
"10.1007/s10792-015-0116-0",2016,"0165-5701","ut:000376262200007"
"10.1007/s10792-016-0216-5",2016,"0165-5701","ut:000388211300015"
"10.1007/s10792-016-0193-8",2016,"0165-5701","ut:000388211300003"
"10.1007/s10792-016-0222-7",2017,"0165-5701","ut:000394159800007"
"10.1007/s00181-015-0977-0",2016,"0377-7332","ut:000375562000007"
"10.1007/s00181-015-0985-0",2016,"0377-7332","ut:000375562000004"
"10.1007/s00181-015-1042-8",2016,"0377-7332","ut:000385171800018"
"10.1007/s00181-015-1008-x",2016,"0377-7332","ut:000379364700011"
"10.1007/s00181-015-1000-5",2016,"0377-7332","ut:000379364700002"
"10.1007/s00181-015-1003-2",2016,"0377-7332","ut:000379364700005"
"10.1007/s00181-015-0994-z",2016,"0377-7332","ut:000379364700010"
"10.1007/s00181-015-1058-0",2016,"0377-7332","ut:000387345900002"
"10.1007/s00181-015-1053-5",2016,"0377-7332","ut:000387345900009"
"10.1007/s00181-015-1046-4",2016,"0377-7332","ut:000387345900017"
"10.1007/s00181-016-1076-6",2017,"0377-7332","ut:000393819300009"
"10.1007/s00181-016-1096-2",2017,"0377-7332","ut:000395064100004"
"10.1007/s00181-016-1085-5",2017,"0377-7332","ut:000395064100003"
"10.1134/S106935131702001X",2017,"1069-3513","ut:000397921100005"
"10.1007/s00013-016-0891-5",2016,"0003-889X","ut:000374560200007"
"10.1007/s00013-016-0892-4",2016,"0003-889X","ut:000374560200009"
"10.1007/s00013-016-0892-4",2016,"0003-889X","ut:000374560200009"
"10.1007/s00013-016-0892-4",2016,"0003-889X","ut:000374560200009"
"10.1007/s00013-016-0904-4",2016,"0003-889X","ut:000376659600009"
"10.1007/s00013-016-0918-y",2016,"0003-889X","ut:000382012800006"
"10.1007/s00013-016-0909-z",2016,"0003-889X","ut:000378871500006"
"10.1007/s00013-016-0945-8",2016,"0003-889X","ut:000386606000010"
"10.1007/s00013-016-0963-6",2016,"0003-889X","ut:000387695900005"
"10.1007/s00013-016-0941-z",2016,"0003-889X","ut:000386605400007"
"10.1007/s00013-016-0940-0",2016,"0003-889X","ut:000386605400014"
"10.1007/s00013-016-0949-4",2016,"0003-889X","ut:000386605400006"
"10.1007/s00013-016-0928-9",2016,"0003-889X","ut:000386605400012"
"10.1007/s00013-016-0953-8",2016,"0003-889X","ut:000386605400013"
"10.1007/s00013-016-0916-0",2016,"0003-889X","ut:000386605400010"
"10.1007/s00013-016-0939-6",2016,"0003-889X","ut:000386605400008"
"10.1007/s00013-016-0955-6",2016,"0003-889X","ut:000386605400015"
"10.1007/s00013-016-0992-1",2017,"0003-889X","ut:000395180800009"
"10.1007/s00013-016-0979-y",2017,"0003-889X","ut:000392503200003"
"10.1007/s00013-016-0987-y",2017,"0003-889X","ut:000394148700003"
"10.1007/s00013-016-0991-2",2017,"0003-889X","ut:000394148700004"
"10.1007/s00028-015-0302-6",2016,"1424-3199","ut:000378782800002"
"10.1007/s00028-016-0380-0",2017,"1424-3199","ut:000398074400013"
"10.1007/s00028-016-0348-0",2017,"1424-3199","ut:000398074400004"
"10.1007/s00028-016-0351-5",2017,"1424-3199","ut:000398074400012"
"10.1007/s00028-016-0365-z",2017,"1424-3199","ut:000398074400019"
"10.1007/s00028-017-0387-1",2017,"1424-3199","ut:000398074400001"
"10.1007/s00028-016-0356-0",2017,"1424-3199","ut:000398074400011"
"10.1007/s00028-016-0352-4",2017,"1424-3199","ut:000398074400005"
"10.1007/s00028-016-0366-y",2017,"1424-3199","ut:000398074400006"
"10.1007/s00028-016-0367-x",2017,"1424-3199","ut:000398074400008"
"10.1007/s00028-016-0360-4",2017,"1424-3199","ut:000398074400014"
"10.1007/s00023-015-0409-x",2016,"1424-0637","ut:000370818600005"
"10.1007/s00023-015-0409-x",2016,"1424-0637","ut:000370818600005"
"10.1007/s00023-014-0394-5",2016,"1424-0637","ut:000370818100001"
"10.1007/s00023-014-0394-5",2016,"1424-0637","ut:000370818100001"
"10.1007/s00023-015-0437-6",2016,"1424-0637","ut:000374396400007"
"10.1007/s10787-015-0253-0",2016,"0925-4692","ut:000374686400005"
"10.1007/s11023-017-9428-3",2017,"0924-6495","ut:000397956800004"
"10.1007/s11023-017-9427-4",2017,"0924-6495","ut:000397956800002"
"10.1007/s11023-016-9415-0",2017,"0924-6495","ut:000397956800007"
"10.1007/s11023-016-9414-1",2017,"0924-6495","ut:000397956800005"
"10.1007/s11023-017-9425-6",2017,"0924-6495","ut:000397956800006"
"10.1007/s00468-015-1331-z",2016,"0931-1890","ut:000376281100028"
"10.1007/s00468-015-1334-9",2016,"0931-1890","ut:000376281100030"
"10.1007/s00468-015-1331-z",2016,"0931-1890","ut:000376281100028"
"10.1007/s00468-015-1334-9",2016,"0931-1890","ut:000376281100030"
"10.1007/s00468-015-1284-2",2016,"0931-1890","ut:000373645700014"
"10.1007/s00468-015-1284-2",2016,"0931-1890","ut:000373645700014"
"10.1007/s00468-016-1415-4",2016,"0931-1890","ut:000384406000029"
"10.1007/s00468-016-1406-5",2016,"0931-1890","ut:000384406000024"
"10.1007/s00468-016-1415-4",2016,"0931-1890","ut:000384406000029"
"10.1007/s00468-016-1406-5",2016,"0931-1890","ut:000384406000024"
"10.1007/s00468-016-1446-x",2016,"0931-1890","ut:000384406000001"
